,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,LLC-load-misses,LLC-loads,cache-references,cache-misses
1,4096,512,128,16,"636,298","6,509,713","52,220,742","3,788,587"
2,4096,256,128,16,"837,016","7,930,630","143,203,838","6,531,369"
