,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,1024,128,8,"136,668,886,586","226,390,169,087","1,131,882,534","1,225,023,500","79,009,071"
2,4096,512,128,8,"139,057,093,291","226,390,253,304","1,352,777,815","1,503,054,076","121,927,394"
3,4096,256,128,8,"138,477,200,198","226,390,492,204","1,440,378,288","1,606,191,190","134,916,277"
4,4096,16,-1,-1,"140,105,342,227","296,890,287,404","1,385,974,950","1,466,782,788","161,083,895"
