,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,2048,32,8,"135,079,464,274","226,780,767,262","1,393,662,498","1,552,701,280","156,285,917"
2,4096,1024,32,8,"134,656,217,270","226,781,272,979","1,552,822,588","1,702,401,627","121,236,846"
3,4096,512,32,8,"135,249,887,035","226,782,333,637","1,572,803,573","1,705,397,339","83,289,040"
4,4096,256,32,8,"135,830,683,246","226,784,617,650","1,613,586,679","1,742,418,687","80,582,881"
