,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,LLC-load-misses,LLC-loads,cache-references,cache-misses
1,512,256,128,64,371,"28,252","251,720","2,557"
2,512,256,128,32,108,"41,270","187,185",707
3,512,256,128,16,114,"38,089","201,961",734
4,512,256,128,8,64,"26,064","204,448",376
5,512,256,128,4,54,"23,907","195,656",373
6,512,256,128,2,132,"30,171","196,748",803
7,512,256,64,32,82,"29,197","183,348",543
8,512,256,64,16,97,"23,673","206,072",655
9,512,256,64,8,64,"18,703","211,510",403
10,512,256,64,4,60,"17,092","207,722",393
11,512,256,64,2,84,"28,464","198,513",541
12,512,256,32,16,46,"35,266","164,561",292
13,512,256,32,8,83,"20,183","171,625",562
14,512,256,32,4,92,"19,363","173,767",583
15,512,256,32,2,76,"29,805","162,186",413
16,512,256,16,8,57,"22,564","168,455",350
17,512,256,16,4,85,"23,114","165,788",571
18,512,256,16,2,80,"28,549","159,245",540
19,512,256,8,4,82,"22,834","164,566",545
20,512,256,8,2,101,"29,275","165,017",569
21,512,256,4,2,115,"28,285","169,262",631
22,512,128,64,32,131,"35,031","188,023",734
23,512,128,64,16,27,"28,906","214,001",179
24,512,128,64,8,121,"21,317","229,927",846
25,512,128,64,4,63,"18,812","228,799",470
26,512,128,64,2,91,"28,880","225,677",552
27,512,128,32,16,75,"48,863","156,940",464
28,512,128,32,8,89,"26,606","171,040",583
29,512,128,32,4,67,"25,736","176,448",446
30,512,128,32,2,50,"37,663","163,920",317
31,512,128,16,8,83,"30,758","168,650",556
32,512,128,16,4,79,"31,567","163,674",545
33,512,128,16,2,91,"39,707","163,628",538
34,512,128,8,4,111,"32,380","172,002",658
35,512,128,8,2,135,"40,636","178,626",620
36,512,128,4,2,70,"40,260","188,441",464
37,512,64,32,16,57,"45,377","270,006",387
38,512,64,32,8,67,"33,538","312,523",453
39,512,64,32,4,97,"34,259","319,171",633
40,512,64,32,2,78,"42,714","273,721",453
41,512,64,16,8,48,"33,066","336,389",358
42,512,64,16,4,24,"35,121","344,763",164
43,512,64,16,2,82,"41,019","308,246",513
44,512,64,8,4,150,"36,980","365,715","1,007"
45,512,64,8,2,74,"42,083","344,686",476
46,512,64,4,2,85,"43,504","366,147",552
47,512,32,16,8,88,"81,624","264,852",533
48,512,32,16,4,68,"85,832","271,568",420
49,512,32,16,2,162,"111,100","243,621",677
50,512,32,8,4,89,"86,323","275,221",479
51,512,32,8,2,133,"103,515","251,657",441
52,512,16,8,4,104,"184,267","387,027",697
53,512,16,8,2,115,"178,669","360,626",590
54,512,16,4,2,79,"178,566","363,523",381
