,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,LLC-load-misses,LLC-loads,cache-references,cache-misses
1,4096,1024,64,32,"278,394","10,778,396","155,076,190","8,171,136"
2,4096,512,64,32,"260,196","8,124,200","127,582,266","8,084,515"
3,4096,256,64,32,"250,565","6,161,216","118,846,960","6,501,574"
4,4096,128,64,32,"192,438","7,543,201","144,215,845","4,864,044"
