,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,LLC-load-misses,LLC-loads,cache-references,cache-misses
1,4096,256,64,16,"485,282","5,683,508","114,747,690","5,893,072"
2,4096,64,32,16,"341,506","15,326,920","169,651,055","3,292,544"
3,4096,128,64,16,"447,985","9,433,588","176,148,990","5,129,208"
4,4096,2048,64,16,"259,832","13,757,665","110,517,916","6,716,516"
5,4096,2048,128,16,"439,457","8,714,666","94,162,632","9,633,212"
6,4096,1024,64,16,"458,658","11,910,824","104,455,321","6,436,373"
7,4096,1024,128,16,"705,987","9,084,426","113,409,340","8,916,618"
8,4096,512,64,16,"589,175","9,127,604","119,067,974","6,401,797"
