,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,LLC-load-misses,LLC-loads,cache-references,cache-misses
1,4096,256,64,16,"466,098","5,473,018","107,940,530","5,701,137"
2,4096,128,64,16,"461,772","9,491,360","179,307,346","5,236,015"
3,4096,2048,128,16,"421,237","8,339,619","82,776,919","8,615,744"
4,4096,1024,128,16,"678,919","8,898,583","107,633,667","8,594,122"
