,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,256,64,16,"132,608,240,839","215,448,740,568","1,377,536,152","1,546,974,016","96,727,259"
2,4096,128,64,16,"135,315,438,938","215,450,641,457","1,542,553,610","1,767,926,415","176,802,361"
3,4096,2048,128,16,"134,605,622,038","215,412,853,073","1,330,356,059","1,471,260,310","96,391,362"
4,4096,1024,128,16,"135,911,030,338","215,412,889,622","1,425,840,545","1,561,724,931","111,315,948"
