,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,32,16,-1,"176,802,807,233","297,026,539,565","1,060,933,567","1,214,275,848","160,397,548"
2,4096,64,16,-1,"178,858,976,050","296,961,737,253","1,138,141,177","1,518,496,863","162,669,116"
3,4096,128,16,-1,"184,751,238,706","296,940,265,371","1,156,439,313","1,329,442,802","147,875,108"
4,4096,2048,32,16,"134,925,053,978","215,552,615,515","1,416,803,852","1,541,014,445","117,402,863"
