,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,1024,64,32,"126,812,981,770","210,621,708,646","1,386,499,914","1,582,427,970","139,033,991"
2,4096,512,64,32,"127,488,785,424","210,621,992,689","1,505,927,728","1,758,420,260","145,708,084"
3,4096,256,64,32,"126,442,656,530","210,622,667,692","1,488,306,496","1,655,084,898","114,130,036"
4,4096,128,64,32,"128,123,182,841","210,624,551,711","1,515,146,576","1,701,417,171","163,965,008"
