,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,2048,128,32,"124,303,061,719","210,608,409,545","1,342,327,031","1,423,465,805","65,260,636"
2,4096,1024,128,32,"134,594,890,030","210,608,446,446","1,473,337,186","1,626,050,202","132,469,356"
3,4096,512,128,32,"130,185,167,213","210,608,528,397","1,480,043,983","1,640,091,674","133,170,190"
4,4096,256,128,32,"129,384,300,427","210,608,767,742","1,517,183,029","1,685,024,023","147,399,545"
