,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,512,64,8,"140,276,397,677","226,503,202,923","1,166,566,642","1,312,582,916","88,312,583"
2,4096,256,64,8,"139,192,059,300","226,503,878,768","1,389,426,326","1,556,711,640","113,860,070"
3,4096,128,64,8,"139,737,643,517","226,505,776,920","1,426,882,229","1,596,735,385","147,464,889"
4,4096,2048,128,8,"135,750,004,505","226,390,134,071","1,006,111,992","1,074,985,043","54,440,151"
