,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,128,32,8,"136,812,094,154","226,790,009,098","1,437,540,691","1,569,450,692","105,389,183"
2,4096,64,32,8,"134,732,866,262","226,805,199,324","1,659,217,944","1,981,982,059","177,390,382"
3,4096,2048,64,8,"134,734,081,910","226,502,785,741","1,263,120,853","1,419,265,259","110,610,194"
4,4096,1024,64,8,"137,949,433,625","226,502,917,095","1,317,797,914","1,482,401,495","100,955,668"
