,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,1024,32,16,"132,289,447,534","215,553,124,156","1,477,784,719","1,584,590,808","87,975,219"
2,4096,512,32,16,"132,041,757,086","215,554,180,322","1,581,563,261","1,694,688,748","69,771,784"
3,4096,256,32,16,"136,307,422,826","215,556,465,684","1,600,158,096","1,709,265,790","75,099,217"
4,4096,128,32,16,"129,813,722,102","215,561,856,341","1,619,861,106","1,815,692,133","151,449,906"
