,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,512,256,-2,-2,"297,687,369","403,885,724","10,463,801","11,355,012","195,527"
2,512,128,-2,-2,"288,847,033","404,947,929","9,410,024","10,842,745","241,498"
3,512,64,-2,-2,"248,188,135","407,103,947","6,594,436","7,740,086","230,287"
4,512,32,-2,-2,"222,610,059","411,573,876","1,293,984","1,631,486","204,338"
5,512,16,-2,-2,"198,536,793","421,379,680","1,874,261","2,337,016","226,374"
6,512,8,-2,-2,"191,126,641","446,348,936","2,375,436","2,941,861","246,569"
7,512,4,-2,-2,"238,461,397","532,856,453","2,687,075","3,315,017","250,688"
8,512,2,-2,-2,"543,509,417","973,258,376","1,542,878","1,933,941","228,310"
