,0,0,0,0,0,0,0,0,0
0,N,B1,B2,B3,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,4096,32,-1,-1,"140,649,928,306","285,750,118,792","1,406,653,990","1,784,076,307","387,918,236"
2,4096,64,32,-1,"167,861,753,724","285,767,136,539","1,455,930,144","1,792,788,945","217,580,172"
3,4096,128,32,-1,"171,826,315,147","285,759,035,342","1,363,063,872","1,482,018,514","102,081,641"
4,4096,2048,64,32,"127,597,847,059","210,621,573,049","1,384,955,329","1,582,704,505","152,029,968"
